"","trial","obs_diff","rate_diff","outcome","amount","mean"
"1","1_1_1_fail","1/6","1/6","fail","1 Observation",15.6166666666667
"2","1_1_1_succ","1/6","1/6","success","1 Observation",67.5361111111111
"3","1_1_3_fail","1/6","1/6","fail","3 Observations",10.8144230769231
"4","1_1_3_succ","1/6","1/6","success","3 Observations",78.21875
"5","1_3_1_fail","1/6","3/6","fail","1 Observation",48.9188235294118
"6","1_3_1_succ","1/6","3/6","success","1 Observation",77.0224299065421
"7","1_3_3_fail","1/6","3/6","fail","3 Observations",43.867032967033
"8","1_3_3_succ","1/6","3/6","success","3 Observations",90.3292134831461
"9","1_5_1_fail","1/6","5/6","fail","1 Observation",69.8947368421053
"10","1_5_1_succ","1/6","5/6","success","1 Observation",91.5406593406593
"11","1_5_3_fail","1/6","5/6","fail","3 Observations",65.7223140495868
"12","1_5_3_succ","1/6","5/6","success","3 Observations",95.3282828282828
"13","3_1_1_fail","3/6","1/6","fail","1 Observation",11.5689075630252
"14","3_1_1_succ","3/6","1/6","success","1 Observation",39.9818181818182
"15","3_1_3_fail","3/6","1/6","fail","3 Observations",12.0571428571429
"16","3_1_3_succ","3/6","1/6","success","3 Observations",48.0822222222222
"17","3_3_1_fail","3/6","3/6","fail","1 Observation",36.8446808510638
"18","3_3_1_succ","3/6","3/6","success","1 Observation",71.6858695652174
"19","3_3_3_fail","3/6","3/6","fail","3 Observations",24.01875
"20","3_3_3_succ","3/6","3/6","success","3 Observations",81.9148148148148
"21","3_5_1_fail","3/6","5/6","fail","1 Observation",67.4860759493671
"22","3_5_1_succ","3/6","5/6","success","1 Observation",87.2238095238095
"23","3_5_3_fail","3/6","5/6","fail","3 Observations",58.08
"24","3_5_3_succ","3/6","5/6","success","3 Observations",92.889898989899
"25","5_1_1_fail","5/6","1/6","fail","1 Observation",8.81782178217822
"26","5_1_1_succ","5/6","1/6","success","1 Observation",35.3886363636364
"27","5_1_3_fail","5/6","1/6","fail","3 Observations",9.575
"28","5_1_3_succ","5/6","1/6","success","3 Observations",33.920652173913
"29","5_3_1_fail","5/6","3/6","fail","1 Observation",25.2009433962264
"30","5_3_1_succ","5/6","3/6","success","1 Observation",62.7908163265306
"31","5_3_3_fail","5/6","3/6","fail","3 Observations",13.3427083333333
"32","5_3_3_succ","5/6","3/6","success","3 Observations",65.3298245614035
"33","5_5_1_fail","5/6","5/6","fail","1 Observation",42.6358490566038
"34","5_5_1_succ","5/6","5/6","success","1 Observation",86.0069306930693
"35","5_5_3_fail","5/6","5/6","fail","3 Observations",20.4539215686275
"36","5_5_3_succ","5/6","5/6","success","3 Observations",91.2613636363636
